"paperId","authorid","Paper-Author","paperTitle","DocumentType","aggregationType","doi","url","ISSN1","ISSN2","ISBN","issue","volume","pageRange","coverDatePaper",year,"citationsPaper","ConferenceEdition","ConferenceName","CorrespondenceAddress","sourceID","sourceName","publisher","SJR","indexhJournal","authorName","AffiliationID","nameAffiliation","country","docNumberAuthor","citationsAuthor","hindexAuthor","pubBeginning","pubEnd"
"85005950245","7202801165","(P)85005950245-(A)7202801165","To Genotype or Phenotype for Personalized Medicine? CYP450 Drug Metabolizing Enzyme Genotype-Phenotype Concordance and Discordance in the Ecuadorian Population","Article","Journal","10.1089/omi.2016.0148","https://api.elsevier.com/content/abstract/scopus_id/85005950245","15578100","15362310","","12","20","699-710","2016-12-01",2016,"8","","","Llerena, A.; CICAB Clinical Research Centre, Extremadura University Hospital and Medical SchoolSpain; email: allerena@unex.es","19001","OMICS A Journal of Integrative Biology","Mary Ann Liebert Inc. info@liebertpub.com","0,941","50","Hernández F.","60072042","Universidad de Guayaquil","Ecuador","28","497","10","1986"," 2016"
"84995610460","7202801165","(P)84995610460-(A)7202801165","Pharmacogenetics and ethnicity: relevance for clinical implementation, clinical trials, pharmacovigilance and drug regulation in Latin America","Conference Paper","Journal","10.2217/pgs-2016-0153","https://api.elsevier.com/content/abstract/scopus_id/84995610460","17448042","14622416","","16","17","1741-1747","2016-11-01",2016,"2","","","Llerena, A.; RIBEF, Ibero-American Network of Pharmacogenetics and PharmacogenomicsSpain; email: allerena@unex.es","21167","Pharmacogenomics","Future Medicine Ltd.info@futuremedicine.com","0,845","80","Hernández F.","60072042","Universidad de Guayaquil","Ecuador","28","497","10","1986"," 2016"
"84978983285","7202801165","(P)84978983285-(A)7202801165","Relevance of the ancestry for the variability of the Drug-Metabolizing Enzymes CYP2C9, CYP2C19 and CYP2D6 polymorphisms in a multiethnic Costa Rican population Relevancia de la ancestría para la variabilidad de polimorfismos de las enzimas metabolizadoras de fármacos CYP2C9, CYP2C19 y CYP2D6 en una población multiétnica de Costa Rica","Article","Journal","10.15517/rbt.v64i3.20901","https://api.elsevier.com/content/abstract/scopus_id/84978983285","22152075","00347744","","3","64","1067-1076","2016-09-01",2016,"3","","","Barrantes, R.; Genetics Section, School of Biology, University of Costa Rica, 2060 San Pedro, Costa Rica; email: ramiro.barrantes@ucr.ac.cr","13567","Revista de Biologia Tropical","Universidad de Costa Rica","0,326","32","Hernández F.","60072042","Universidad de Guayaquil","Ecuador","28","497","10","1986"," 2016"
"84888082961","7202801165","(P)84888082961-(A)7202801165","Evaluation of drug-metabolizing enzyme hydroxylation phenotypes in Hispanic populations: The CEIBA cocktail","Review","Journal","10.1515/dmdi-2013-0020","https://api.elsevier.com/content/abstract/scopus_id/84888082961","07925077","","","3","28","135-146","2013-08-01",2013,"12","","","Llerena, A.; CICAB Clinical Research Centre, Extremadura University Hospital and Medical School, 06071 Badajoz, Spain; email: allerena@unex.es","21228","Drug Metabolism and Drug Interactions","",,,"Hernández F.","60072042","Universidad de Guayaquil","Ecuador","28","497","10","1986"," 2016"
"84864281440","7202801165","(P)84864281440-(A)7202801165","CYP2D6 genotype and dextromethorphan hydroxylation phenotype in an Ecuadorian population","Article","Journal","10.1007/s00228-011-1147-8","https://api.elsevier.com/content/abstract/scopus_id/84864281440","00316970","14321041","","5","68","637-644","2012-05-01",2012,"26","","","Teran, E.; Health Science College, Universidad San Francisco de Quito, Quito, Ecuador; email: e_teran_uce@hotmail.com","21326","European Journal of Clinical Pharmacology","","1,159","96","Hernández F.","60072042","Universidad de Guayaquil","Ecuador","28","497","10","1986"," 2016"
"84860531136","7202801165","(P)84860531136-(A)7202801165","Pharmacogenetics in Latin American populations: Regulatory aspects, application to herbal medicine, cardiovascular and psychiatric disorders","Conference Paper","Journal","10.1515/dmdi-2012-0006","https://api.elsevier.com/content/abstract/scopus_id/84860531136","07925077","","","1","27","57-60","2012-03-01",2012,"10","","","Llerena, A.; Clinical Research Centre (CICAB), University of Extremadura Medical School, Hospital Infanta Cristina, 06080 Badajoz, Spain; email: allerena@unex.es","21228","Drug Metabolism and Drug Interactions","",,,"Hernández F.","60072042","Universidad de Guayaquil","Ecuador","28","497","10","1986"," 2016"
"0025480587","6603066035","(P)0025480587-(A)6603066035","Antibiotic prophylaxis in urological surgery PROFILAXIS ANTIMICROBIANA EN CIRUGIA UROLOGICA","Article","Journal",,"https://api.elsevier.com/content/abstract/scopus_id/0025480587","00040614","","","7","43","715-718","1990-01-01",1990,"0","","","","19389","Archivos Espanoles de Urologia",,"0,178","21","Luzuriaga Graf J.","60072042","University of Guayaquil","Ecuador","16","1","1","1983"," 1990"
"85042626813","55840886400","(P)85042626813-(A)55840886400","Vinces UG-03 and vinces UG-10, new rice cultivars for the ecuadorian coast Vinces UG-03 y vinces UG-10, nuevas variedades de arroz para la costa ecuatoriana","Article","Journal",,"https://api.elsevier.com/content/abstract/scopus_id/85042626813","01877380","","","1","41","93-95","2018-01-01",2018,"0","","","Garcés-Fiallos, F.R.; Facultad de Ciencias Agrarias, Universidad de Guayaquil. Cdla. Universitaria Salvador Allende, Malecón del Salado entre Av. Delta y Av. Kennedy, Ecuador; email: felipegarces23@yahoo.com","12300154905","Revista Fitotecnia Mexicana","Sociedad Mexicana de Fitogenetica revfitotecniamex@somefi.org","0,192","11","Garcés Fiallos F.","60072042","Universidad de Guayaquil","Ecuador","16","16","2","2013"," 2018"
"85029928834","55840886400","(P)85029928834-(A)55840886400","Chemical control of foliar diseases in soybean depends on cultivar and sowing date O controle químico de doenças foliares na cultura da soja depende do cultivar e da época de plantio","Article","Journal",,"https://api.elsevier.com/content/abstract/scopus_id/85029928834","19813163","15163725","","5","33","1188-1196","2017-09-01",2017,"1","","","","19700175253","Bioscience Journal","Universidade Federal de Uberlandiarevista-si@abs-soldagem.org.br","0,303","12","Garcés Fiallos F.","60072042","Universidad de Guayaquil","Ecuador","16","16","2","2013"," 2018"
"85046268464","55840886400","(P)85046268464-(A)55840886400","Trichoderma harzianum en pre-transplante aumenta el potencial agronómico del cultivo de piña","Article","Journal","10.5039/agraria.v12i4a5468","https://api.elsevier.com/content/abstract/scopus_id/85046268464","19810997","19811160","","4","12","410-414","2017-01-01",2017,"0","","","Garcés-Fiallos, F.R.; Facultad de Ingeniería Industrial, Universidad de Guayaquil, Avenida Las Aguas, Ecuador; email: felipe.garcesf@ug.edu.ec","19900193854","Revista Brasileirade Ciencias Agrarias","Universidade Federal Rural de Pernambuco editorgeral@agraria.pro.br","0,288","9","Garcés Fiallos F.","60072042","Universidad de Guayaquil","Ecuador","16","16","2","2013"," 2018"
